analysis,timepoint,population,responder_subjects,nonresponder_subjects,responder_median_pct,nonresponder_median_pct,median_difference_pct_points,mann_whitney_u,p_value,fdr_q_value,rank_biserial_effect,significant_fdr_0_05
timepoint,0,b_cell,331,325,9.785034652883825,9.758175376096343,0.02685927678748179,55244.0,0.548540867511239,,0.02707878224494542,
timepoint,7,b_cell,331,325,9.233417466902628,9.96574061312489,-0.7323231462222619,50240.0,0.1438647748176938,,-0.06595398559144783,
timepoint,14,b_cell,331,325,9.107291903786328,9.837048983645893,-0.7297570798595654,47849.0,0.014414435042203704,,-0.11040669300488026,
timepoint,0,cd8_t_cell,331,325,24.39568761084873,24.60102813964531,-0.20534052879658304,52203.0,0.5139556861462278,,-0.02945851731350224,
timepoint,7,cd8_t_cell,331,325,24.696417585537837,24.772727272727273,-0.0763096871894362,52644.0,0.6376580949670412,,-0.021259586335115044,
timepoint,14,cd8_t_cell,331,325,25.077472448539822,24.5581237253569,0.5193487231829224,54591.0,0.7407366897157917,,0.014938415059261079,
timepoint,0,cd4_t_cell,331,325,29.633821633005223,29.530535110403818,0.10328652260140458,54414.0,0.7964495929763914,,0.011647687659772199,
timepoint,7,cd4_t_cell,331,325,30.445659590036684,29.54763079244407,0.8980287975926124,59064.0,0.02970607205457188,,0.09809900069718802,
timepoint,14,cd4_t_cell,331,325,30.790936388610856,30.069868027059997,0.7210683615508593,58102.0,0.07547067704462714,,0.08021380432256575,
timepoint,0,nk_cell,331,325,14.997332404211535,14.890453979521677,0.10687842468985842,53437.0,0.8853281081905569,,-0.006516383918196644,
timepoint,7,nk_cell,331,325,14.419799388594255,14.795928490644656,-0.37612910205040073,50185.0,0.13775265937433018,,-0.06697652800371834,
timepoint,14,nk_cell,331,325,14.35279940320205,14.653386282211766,-0.3005868790097157,51347.0,0.31470070712693443,,-0.04537299558447594,
timepoint,0,monocyte,331,325,19.6055804178746,20.286002186823318,-0.6804217689487189,50754.0,0.21138928177192992,,-0.05639786195677432,
timepoint,7,monocyte,331,325,19.596890913964085,20.03212228622065,-0.4352313722565633,52089.0,0.48413674295382414,,-0.0315779688589356,
timepoint,14,monocyte,331,325,19.623260270454477,19.74962832087221,-0.12636805041773158,52676.0,0.647103307152526,,-0.020664652567975783,
day14_minus_day0,,b_cell,331,325,-0.9975909331577988,0.14746413219541665,-1.1450550653532154,47142.0,0.006179772200717893,0.030898861003589465,-0.12355101092261211,True
day14_minus_day0,,cd8_t_cell,331,325,-0.03521051468213443,-0.20308625035573513,0.1678757356736007,54650.0,0.7224479931263319,0.7224479931263319,0.016035324192423817,False
day14_minus_day0,,cd4_t_cell,331,325,1.1587421160273905,0.07684996886429474,1.0818921471630958,57678.0,0.10896045552122542,0.27240113880306355,0.07233093190797124,False
day14_minus_day0,,nk_cell,331,325,-0.6000034955220279,-0.52691794260015,-0.0730855529218779,52306.0,0.541696649061832,0.7224479931263319,-0.027543574250522895,False
day14_minus_day0,,monocyte,331,325,-0.36165141471059314,-0.22404225058413374,-0.1376091641264594,55046.0,0.6042059346043192,0.7224479931263319,0.023397629560771627,False
